date,line_id,items,model,destination,assign_no,detail
2024.08.15 วันพฤหัสบดี ,tam,เบิกถาดรีเจ็ค ส่ง ลงอุดรธานีครับ ,K2,ลงอุดรธานีครับ ,2085241013,13:17 tam 10/8/2024 (2085241013) Cpall ร้าน B03073 มุขมนตรี (NEU) ( FRANCHISE TYPE พนักงาน (B2) ) Priority : P48 Call Type : Q Ticket ID : 24081006018 7-11Area : NEU Created Time : 10/08/2024 16:31 ผู้แจ้ง : อัจฉราพร (ผช.ผจก.) Address : 2/22 ถ.สร้างหลวง สร้างหลวง ต. หมากแข้ง อ. เมืองอุดรธานี จ. อุดรธานี 41000 Telephone : 042-328-305 328-272 091-002-3073 0910023073 อุปกรณ์ : เครื่องนับธนบัตรแบบตั้งโต๊ะ(KISANรุ่นK2) หมายเลข Serial no. : N20D01-T27794 สถานะสัญญา : Category : CONSTRUCTION Sub-Categroy : อุปกรณ์ Product Type : เครื่องนับธนบัตร Problem Type : หัก Discription :ขาตั้ง หัก และหลุด SLA 12 ชั่วโมงติดต่อแก้ไขเบื้องต้นก่อนนะคะ ถ้าแก้ไขได้รบกวนแจ้งพนักงานร้านปิดงานเข้าระบบด้วยค่ะ โทรปิดงาน/Update งานเข้าระบบเพื่อรอเปลี่ยนอะไหล่ 028267711 กด 4 กด 1 และ กด1 อีกครั้งค่ะ สำคัญมาก การโทรอัพเดตงานเข้าระบบจึงสำคัญในการยืดเวลาก่อนหมด SLA เบิกถาดรีเจ็ค ส่ง ลงอุดรธานีครับ  
2024.08.15 วันพฤหัสบดี ,tam,,,,,13:17 tam รูป  
2024.08.15 วันพฤหัสบดี ,BOY,เบิกเพาเว่อร์ ลงอู่ทอง เบิกบอร์ด ลงอู่ทอง ,CM800H,ลงอู่ทอง ,2084240907,13:35 BOY 9/8/67 2084240907  : 0220 - สองพี่น้อง โทรศัพท์ที่ทำงาน: 085-4862942/088-6429598 ---รายละเอียดของงาน--- ประเภทของงาน / ลักษณะงาน: U/เครื่องนับธนบัตรใหญ่ (ปั่นเงิน)/S2/ชำรุด ไม่ทำงาน รายละเอียดและ/หรือความต้องการอื่นๆ: ปัญหา : เครื่องปั่นเงินตัวใหญ่เปิดใช้งานไม่ได้ สาเหตุมาจากเมื่อวานไฟที่สาขาดับ   ช่องบริการที่ 3 31809035 เบิกเพาเว่อร์ ลงอู่ทอง เบิกบอร์ด ลงอู่ทอง  
2024.08.15 วันพฤหัสบดี ,BOY,,,,,13:35 BOY รูป  
2024.08.15 วันพฤหัสบดี ,Dome,"เบิกมอเตอร์แสตกเกอร์,ฝาข้างซ้ายขวา ",NT3,ฝากพี่อ้นครับ ,2087241322,13:50 Dome 13/8/2024 (2087241322) SCB 0653 แหลมฉบัง NEWTON 3 / N20F01-B25902 ปั่นธนบัตรไม่ได้ ขึ้น Stack Error โทร.038-330116-7 0817108365 คุณสาวิตรี เสาธงหิน 175235843 *รับแจ้งจากสนญ.Scan QR Code ทุกครั้งหลังซ่อมเรียบร้อยแล้ว* *ปิดงานภายในวันที่ 15/8/67* เบิกมอเตอร์แสตกเกอร์ ฝาข้างซ้ายขวา ฝากพี่อ้นครับ  
2024.08.15 วันพฤหัสบดี ,Saranyu,,,,,14:02 Saranyu @Dome ฝาข้างเป็นอะไรครับ  
2024.08.15 วันพฤหัสบดี ,สุชิน,เบิกหัวเข็ม 1 ชุด ,PASSBOOK,ฝากพี่ลินครับ ,2083241419,14:15 สุชิน 14/08/2024 (2083241419) Kbank สำนักแจ้งวัฒนะ ชั้น 6 Compuprint//RHS-T12-119785 ปริ้นตัวหนังสือไมเต็ม โทร.081-4672887 คุณอครเดช เบิกหัวเข็ม 1 ชุด ฝากพี่ลินครับ  
2024.08.15 วันพฤหัสบดี ,Dome,,,,,14:38 Dome เกลียวรูด  
2024.08.15 วันพฤหัสบดี ,Ripp,เบิกสายพานเล็ก 2 เส้น ,AKEBONO,ฝากพี่แหม่มครับ ,2087241510,15:02 Ripp 15/8/2024 (2087241510) SCB 5412 โลตัส สมุทรสาคร SP-757 / 14030693 เครื่องไม่ตัดสายรัด โทร.034-866385-6 0922846035 คุณหยกทิพย์ แซ่โง้ว 175358277 *รับแจ้งจากสนญ.Scan QR Code ทุกครั้งหลังซ่อมเรียบร้อยแล้ว* *ปิดงานภายในวันที่ 17/8/67* เบิกสายพานเล็ก 2 เส้น ฝากพี่แหม่มครับ  
2024.08.15 วันพฤหัสบดี ,คุณ.ทรงพล,เบิกเซ็นเซอร์ 1 ตัว+บอร์ดคุมเซ็นเซอร์ 1 อัน ส่ง ลงยโสธรครับ ,CS610,ลงยโสธรครับ ,1081241501,15:14 คุณ.ทรงพล (1081241501) SCB ศรีสะเกษ CS-610S+Pro 11702023 ไม่นับเหรียญ / หน้าจอสีฟ้า โทร.090-2681879 คุณสุพัตรา Call *ปิดงานภายในวันที่ 16/8/2024* เบิกเซ็นเซอร์ 1 ตัว+บอร์ดคุมเซ็นเซอร์ 1 อัน ส่ง ลงยโสธรครับ  
2024.08.15 วันพฤหัสบดี ,THERDSAK.W.,เบิก. รอนสัน 1กป แปรงปัดฝุ่น 1 ,,ฝากแหม่มครับ ,,15:30 THERDSAK.W. เบิก. รอนสัน 1กป แปรงปัดฝุ่น 1 ฝากแหม่มครับ  
2024.08.15 วันพฤหัสบดี ,AKARAPONG.,เบิก ปั้มน้ำครับ ,KUPPU,ฝากริน ,2086241327,15:38 AKARAPONG. AK. 13/8/24 2086241327 Non-Bank ปทุมธานี ภาสกรณ์ 0979836354 K-303 K303-01009 ไม่ดูดน้ำ เบิก ปั้มน้ำครับ ฝากริน  
2024.08.15 วันพฤหัสบดี ,Praymanut,เบิก เมนบอด มอเตอร์ AC ,,ฝากพี่แหม่มครับ ,1073240904,15:46 Praymanut 9/07/2024 (1073240904) GSB จตุจักร JB-2000//00403 ไม่ปั่น โทร.086-0094707 เมล์.BM0047@Gsb.or.th คุณหนึ่ง *นอกสัญญา* เบิก เมนบอด มอเตอร์ AC ฝากพี่แหม่มครับ  
2024.08.15 วันพฤหัสบดี ,Praymanut,,,,,15:55 Praymanut รูป  
2024.08.15 วันพฤหัสบดี ,T,เบิกหูกั้น Reject ข้างซ้าย1 ตัวครับ ,NTV,,1086241407,15:58 T Tee Kbank 14/8/24 1086241407  : 0519 - ถนนเทพารักษ์ กม.16  : ปัญหา : เครื่องนับธนบัตรเล็ก (โรยเงิน) นับไม่ได้ค้าง NEWTON+V N15A01-PD8694 ซ่อมไม่สำเร็จ รอเปลี่ยนอะไหล่ หูกั้น Reject หัก เข้าอีก 16/8/67 15/8/67 เบิกหูกั้น Reject ข้างซ้าย1 ตัวครับ  
2024.08.15 วันพฤหัสบดี ,T,,,,,15:58 T Tee รูป  
2024.08.15 วันพฤหัสบดี ,สุชิน,เบิกแกนเลื่อนด้านซ้าย 1 อัน เบิกแกนเลื่อนด้านขวา 1 อัน ,NT3,ฝากพี่ลินครับ ,2083241519,16:08 สุชิน 15/08/2024 (2083241519) SCB ถนนสรงประภา (ดอนเมือง) NEWTON 3//N19H01-B09694 นับตกรีเจค + นับเกิน+ตัวกั้นธนบัตรหัก โทร.02-9283510 คุณประภัสสร เบิกแกนเลื่อนด้านซ้าย 1 อัน เบิกแกนเลื่อนด้านขวา 1 อัน ฝากพี่ลินครับ  
2024.08.15 วันพฤหัสบดี ,โค้ช..ISC,เบิกหลอดcis ลงสระแก้วครับ** ,K2,ลงสระแก้วครับ** ,1087241409,16:12 โค้ช..ISC 14/8/2024 (1087241409) CP ALL ตลาดประแสร์ (ระยอง) K2 /N20D01-T25062 ตกรีเจค โทร.0910010270 คุณพรรณภา ** เบิกหลอดcis ลงสระแก้วครับ**  
2024.08.15 วันพฤหัสบดี ,Saksit,เบิกลูกกลิ้งพร้อมแกนตามรูป1ชุด ,NTV,ฝากพี่ลินครับ ,2086241522,17:09 Saksit Chokoh Kbank 15/8/24 2086241522  : FX1887 - ท่าอากาศยานดอนเมือง 6  : เครื่องโปรย ไม่โปรยเงิน PH5118 นัดUserไม่เกินวันที่17/8/67ครับ เบิกลูกกลิ้งพร้อมแกนตามรูป1ชุด ฝากพี่ลินครับ  
2024.08.15 วันพฤหัสบดี ,Saksit,,,,,17:09 Saksit Chokoh รูป  
2024.08.16 วันศุกร์ ,sutta,,Card Reader,,2083241537,07:38 sutta 15/08/2024 (2083241537) กสิกร สาขาโรงพยาบาลกรุงเทพ ระบบงาน Smart Card Reader // RR512-013070 อาการ ไม่อ่านบัตรประชาชน พนักงาน : เรืองนภา ผะอบ Tel. : 0926261292 INCS000000492650 เบอร์เครื่องอ่านบัตร 1 ตัวครับ  
2024.08.16 วันศุกร์ ,BOY,เบิกถ่าน ลงอู่ทอง ,NT3,ลงอู่ทอง ,1087241601,08:40 BOY 16/8/2024 (1087241601) SCB สองพี่น้อง NEWTON 3 /N19I01-B14385 ตั้งวันที่ตลอด โทร.0971624956 คุณทักษอร เบิกถ่าน ลงอู่ทอง  
2024.08.16 วันศุกร์ ,<€Aee€>,เบิก micro switch main cover เครื่อง newtonF 2 ตัว ส่ง ลงอุทัยธานี ,NT3,ลงอุทัยธานี ,1082241601,09:02 <€Aee€> 16/8/2024 (1082241601) SCB สาขาสิงห์บุรี NEWTON3 // N19L10-PG3276 อาการเหมือนมีอะไหร่หลุด (ที่หน้าจอ) โทร. 0925495426 คุณมนัสชนก เบิก micro switch main cover เครื่อง newtonF 2 ตัว ส่ง ลงอุทัยธานี  
2024.08.16 วันศุกร์ ,T,เบิก แผ่น คาริเบต NT-3 1 NT-V ขาว 1 NT-A 1 K2 1 F+ 1 แป ลงปัดฝุ่น 2ด้ามครับ ,NT3,ลงปัดฝุ่น 2ด้ามครับ ,,09:05 T Tee เบิก แผ่น คาริเบต NT-3 1 NT-V ขาว 1 NT-A 1 K2 1 F+ 1 แป ลงปัดฝุ่น 2ด้ามครับ  
2024.08.16 วันศุกร์ ,aon,"เบิก sensor ตัวล่อหัวนับ,c2.5 สปริงเหลือง. ครับ ",,,1089241601,09:20 aon i am ขอรหัสซ่อม 16/8/67 ธกส.ฉะเชิงเทรา JB2000 // 00549 นับไม่ครบ แจ้งมาทางช่างครับ 1089241601 เบิก sensor ตัวล่อหัวนับ c2.5 สปริงเหลือง. ครับ  
2024.08.16 วันศุกร์ ,aon,,,,,09:20 aon i am รูป  
2024.08.16 วันศุกร์ ,BOY,เบิกเครื่อง ลงอู่ทอง ,,ลงอู่ทอง ,2083241525,09:51 BOY 15/08/2024 (2083241525) กสิกร พนักงาน : จุฑารัตน์ แสนสี รหัสพนักงาน : 652554 ฝ่ายงาน/สาขา : ถ.มาลัยแมน สุพรรณบุรี Tel. : 0854862960 อุปกรณ์ : เครื่องยิงบาร์โค๊ด อาการเสีย/Error message : ใช้งานไม่ได้ ไฟไม่ติด ช่อง9 INCS000000492475 เบิกเครื่อง ลงอู่ทอง  
2024.08.16 วันศุกร์ ,สุชิน,เบิกแปรงทำความสะอาด 1 อัน ,,ฝากพี่ลินครับ ,,10:00 สุชิน เบิกแปรงทำความสะอาด 1 อัน ฝากพี่ลินครับ  
2024.08.16 วันศุกร์ ,BOY,เบิกหัวเข็ม ลงอู่ทอง ,PASSBOOK,ลงอู่ทอง ,2083241540,10:02 BOY 15/8/2024 (2083241540) กสิกร สาขาโรบินสันสุพรรณบุรี ระบบงาน passbook // RHS-T12-133302 อาการ ไม่ปริ้นรายการ ช่อง5 พนักงาน พัชวาล หอมไหม เบอร์ติดต่อ : 0937090393 INCS000000492802 เบิกหัวเข็ม ลงอู่ทอง  
2024.08.16 วันศุกร์ ,KH,เบิกชุดลูกยาง 1 ชุดครับ ลงชุมพร ,N-132,ลงชุมพร ,1086241608,10:22 KH 16/8/24 1086241608 KTB หลังสวน ชุมพร ใต้ อารีญา 0961399965 N-132 0272911 ลูกยางเสื่อม เบิกชุดลูกยาง 1 ชุดครับ ลงชุมพร  
2024.08.16 วันศุกร์ ,Dome,"เบิกบอร์ด driver,path,รอนสัน,แปรง ส่งเคอรี่ ลงพัทยาครับ ",NTV,ลงพัทยาครับ ,2086241422,10:30 Dome Kbank 14/8/24 2086241422  : 0162 - สัตหีบ ชั้น: ไม่ระบุ ห้อง: ไม่ระบุ โทรศัพท์ที่ทำงาน: 0927581659 ชื่อผู้บันทึกเอกสาร: PENPAK KAEWKUN ---รายละเอียดของงาน--- ประเภทของงาน / ลักษณะงาน: U/เครื่องนับธนบัตรเล็ก (โรยเงิน)/S2/ชำรุด ไม่ทำงาน N14J08-PD4482 เบิกบอร์ด driver path รอนสัน แปรง ส่งเคอรี่ ลงพัทยาครับ  
2024.08.16 วันศุกร์ ,สุชิน,เบิกเพิ่ม ตัวกั้นช่องรีเจค 1 อัน ,NT3,ฝากพี่ลินครับ ,2083241519,10:52 สุชิน 15/08/2024 (2083241519) SCB ถนนสรงประภา (ดอนเมือง) NEWTON 3//N19H01-B09694 นับตกรีเจค + นับเกิน+ตัวกั้นธนบัตรหัก โทร.02-9283510 คุณประภัสสร เบิกเพิ่ม ตัวกั้นช่องรีเจค 1 อัน ฝากพี่ลินครับ  
2024.08.16 วันศุกร์ ,สุชิน,,,,,10:52 สุชิน รูป  
2024.08.16 วันศุกร์ ,<€Aee€>,,,,,10:54 <€Aee€> รูป  
2024.08.16 วันศุกร์ ,REE©H,เบิกตัวอ่านบัตร 1อัน ส่งเคอรี่ ,,ส่งเคอรี่ ,1083241602,11:23 REE©H K 16/8/2024 (1083241602) กสิกร ชื่อ-นามสกุลพนักงาน : สุกัญญา ผาจันทร์ รหัสพนักงาน : 716485 ฝ่ายงาน/สาขา : บางยี่ขัน Tel. : 0854861208 อุปกรณ์ : เครื่องไม่อ่านบัตร Computer Name : อาการเสีย/Error ไม่อ่านบัตร INCS000000493128 เบิกตัวอ่านบัตร 1อัน ส่งเคอรี่  
2024.08.16 วันศุกร์ ,Gapp,"เบิก ถ่านเม็ดกระดุม2 เปลี่ยน1,สำรอง1 ",NT3,ฝากพี่แหม่มครับ ,2083241511,11:40 Gapp 15/08/2024 (2083241511) SCB พระพุทธบาท (สระบุรี) NEWTON 3//N20F01-B25760 ไม่นับ โทร.081-7108215 คุณสุทัศ เบิก ถ่านเม็ดกระดุม2 เปลี่ยน1 สำรอง1 ฝากพี่แหม่มครับ  
2024.08.16 วันศุกร์ ,tam,เบิกแผ่นไม้ระบาและหัวเข็มที่ผม ส่งซ่อม ส่ง ลงอุดรธานีครับ ,PASSBOOK,ลงอุดรธานีครับ ,2083241534,12:04 tam 15/08/2024 (2083241534) กสิกร สาขาหนองคาย ระบบงาน passbook // RHS-T12-126656 อาการ ไม่ปริ้นรายการ พนักงาน พิมพ์สมร อุดรเขต โทร 0842638841 INCS000000492590 เบิกแผ่นไม้ระบาและหัวเข็มที่ผม ส่งซ่อม ส่ง ลงอุดรธานีครับ  
2024.08.16 วันศุกร์ ,tam,,,,,12:04 tam รูป  
2024.08.16 วันศุกร์ ,สมเดช,เบิกบอร์ดแสดงผล ลงพิษณุโลกครับ ,KUPPU,ลงพิษณุโลกครับ ,108A240201,12:35 สมเดช 02/08/2024 (108A240201) Non-Bank คุณเป็นหนึ่ง แม้นเหมือน KUPPU K303-06158 ขึ้น No Water 080-5995454 104/10 ถ.ศรีถมอรัตน์ ต.ในเมือง อ.เมือง จ.พิษณุโลก *รบกวนติดต่อเพื่อนัดวันเข้าด้วยค่ะ* เพิ่มหน้าจอไม่ติด เบิกบอร์ดแสดงผล ลงพิษณุโลกครับ  
2024.08.16 วันศุกร์ ,ชีวิตคือ...(ทรงวุฒิ),เบิก Power supply JB-3008 1 ตัว ***และสายเชื่อมต่อ Power suply กับ บอร์ดควบคุมมอเตอร์ ,JB3008F,,1086241607,12:51 ชีวิตคือ...(ทรงวุฒิ) Kbank 16/8/24 1086241607  : 1316 - เลิงนกทา ยโสธร  : ปัญหา : เครื่องนับธนบัตรเปิดไม่ได้ 88131602 ** เบิก Power supply JB-3008 1 ตัว ***และสายเชื่อมต่อ Power suply กับ บอร์ดควบคุมมอเตอร์ @Patwut (นุ) @สมยศ  
2024.08.16 วันศุกร์ ,ชีวิตคือ...(ทรงวุฒิ),,,ลงโพนทอง ,,12:53 ชีวิตคือ...(ทรงวุฒิ) ส่ง ลงโพนทอง  
2024.08.16 วันศุกร์ ,BOY,เบิกอย่างละ 1 กระป๋อง แปรง 1 อัน ลงอู่ทอง ,,ลงอู่ทอง ,,13:14 BOY เบิกอย่างละ 1 กระป๋อง แปรง 1 อัน ลงอู่ทอง  
2024.08.16 วันศุกร์ ,BOY,,,,,13:14 BOY รูป  
2024.08.16 วันศุกร์ ,สมเดช,เบิก หลอดcisสีเหลือง+สายจอแยก ลงพิษณุโลกครับ ,,ลงพิษณุโลกครับ ,208B241602,13:14 สมเดช 16/8/2024 208B241602 Scbสุโขทัย นับตกรีเจคขอเลขงานครับ N22H20-B57260 เบิก หลอดcisสีเหลือง+สายจอแยก ลงพิษณุโลกครับ  
2024.08.16 วันศุกร์ ,สมเดช,เบิกแปรงปัดฝุ่น2อัน ลงพิษณุโลกครับ ,,ลงพิษณุโลกครับ ,,13:15 สมเดช เบิกแปรงปัดฝุ่น2อัน ลงพิษณุโลกครับ  
2024.08.16 วันศุกร์ ,Smuch,เบิก ชุดเฟืองกลอตลับผ้าหมึก 1 ไม้ระบา 2 ไว้สำหรับสำรองเปลี่ยนให้ลูกค้าครับ ลงเชียงใหม่ครับ ,,ลงเชียงใหม่ครับ ,,13:18 Smuch เบิก ชุดเฟืองกลอตลับผ้าหมึก 1 ไม้ระบา 2 ไว้สำหรับสำรองเปลี่ยนให้ลูกค้าครับ ลงเชียงใหม่ครับ  
2024.08.16 วันศุกร์ ,KH,เบิก power ครับ ลงบ้านโป่ง ,CM800H-DC,ลงบ้านโป่ง ,2087241610,13:41 KH 16/8/2024 (2087241610) Non-Bank สหกรณ์นิคมท่าแซะ จำกัด CM-800H /32305043 เสียบปลั๊กแล้วเครื่องเปิดไม่ติด โทร.0810794151 คุณแตง เบิก power ครับ ลงบ้านโป่ง  
2024.08.16 วันศุกร์ ,Dome,เบิกตัวจ่ายไฟ ส่งเคอรีครับ ,NTV,ส่งเคอรีครับ ,2086241424,13:50 Dome Kbank 14/8/24 2086241424  : 0481 - ถนนสุขุมวิท นาเกลือ  : ปัญหา : เครื่องนับธนบัตรไม่ดูดนับเงิน ช่องบริการ 1 แคชเชียร์ N14J08-PD4345 เบิกตัวจ่ายไฟ ส่งเคอรีครับ  
2024.08.16 วันศุกร์ ,หลุยส์,เบิกหัวเข็ม รีบเองครับ ,PASSBOOK,,2083241542,14:14 หลุยส์ 15/8/2024 (2083241542) กสิกร สาขาโรบินสัน สมุทรปราการ ระบบงาน passbook // RHS-T12-130310 อาการ ปริ้นตัวหนังสือ พนักงาน วารีพร ทองอ้อยอิ้ม เบอร์ติดต่อ : 0927583537 INCS000000492815 เบิกหัวเข็ม รีบเองครับ  
2024.08.16 วันศุกร์ ,โค้ช..ISC,,,ลงสระแก้วครับ ,2086241624,14:15 โค้ช..ISC ขอเลขแจ้งซ่อมktb สาขาศรีรองเมือง เครื่องts-300a S:n/1811017 สายพานขาด 16/8/24 2086241624 เบิวสายพานตามภาพสำรอง5เส้น ส่ง ลงสระแก้วครับ  
2024.08.16 วันศุกร์ ,โค้ช..ISC,,,,,14:15 โค้ช..ISC รูป  
2024.08.16 วันศุกร์ ,tam,เบิกเซ็นเซอร์ hopper และตัวครอบเซ็นเซอร์ hopper ส่ง ลงอุดรธานีครับ ,NTV,ลงอุดรธานีครับ ,1086241320,14:19 tam Kbank 13/8/24 1086241320  : 0110 - อุดรธานี  : ปัญหา : เครื่องโปรยไม่ได้ และเซ็นเซอร์ปั่นเองตลอด   Newton v เบิกเซ็นเซอร์ hopper และตัวครอบเซ็นเซอร์ hopper ส่ง ลงอุดรธานีครับ  
2024.08.16 วันศุกร์ ,tam,,,,,14:19 tam รูป  
2024.08.16 วันศุกร์ ,Apiyut,เบิก ลูกปืนกดธนบัตร 2 อัน Jb-4001 ลงภูเก็ต ,JB4001,ลงภูเก็ต ,1086241507,14:36 Apiyut Kbank 15/8/24 1086241507  : 0494 - ห้าแยกฉลอง ภูเก็ต  : ปัญหา : ไม่สามารถนับเงินได้ 18090556 เบิก ลูกปืนกดธนบัตร 2 อัน Jb-4001 ลงภูเก็ต  
2024.08.16 วันศุกร์ ,Apiyut,,,,,14:36 Apiyut รูป  
2024.08.16 วันศุกร์ ,อุทาน,เบิกปุ่มกดรีเซ็ต 2อัน ส่ง ลงนครสวรรค์** ,CM800H,ลงนครสวรรค์** ,2086241617,14:40 อุทาน 16/8/24 2086241617 SCB เทสโก้โลตัส แม่สอด (ถนนสายเอเชีย) ตาก เหนือล่าง หทัยทิพย์ 055506890/0811729136 CM-800H C1620331 กดปุ่มรีเช็ตไม่ได้ ** เบิกปุ่มกดรีเซ็ต 2อัน ส่ง ลงนครสวรรค์**  
2024.08.16 วันศุกร์ ,สมเดช,เบิกตลับผ้าหมึกktb1กล่อง ลงพิษณุโลกครับ ,PASSBOOK,ลงพิษณุโลกครับ ,2085241605,15:06 สมเดช @PB 2085241605 กรุงไทย พรหมพิราม SN.RHS-S92-199029 ผ้าหมึกใช้ไม่ได้ โทร 0840757113 คุณสุพัตรา ขอเคลมผ้าหมึกค่ะ เบิกตลับผ้าหมึกktb1กล่อง ลงพิษณุโลกครับ  
2024.08.16 วันศุกร์ ,Ripp,เบิกสายจอแยก เบิกบอร์ดอินเตอเฟด ,NT3,ฝากพี่แหม่มครับ ,1082241602,15:42 Ripp 16/8/2024 (1082241602) SCB สาขา บิ๊กซี มหาชัย จ.สทุทรสาคร NEWTON3 // N19H01-B09715 อาการ จอแยกไม่แสดงผล / นับตกรีเจก   CM800H // C1620650 อาการ นับขาด โทร. 0806257846 คุณหนึ่งฤทัย เบิกสายจอแยก เบิกบอร์ดอินเตอเฟด ฝากพี่แหม่มครับ  
2024.08.16 วันศุกร์ ,Mhoowhan.33,,,,,18:05 Mhoowhan.33 Mhoowhan.33 ออกจากกลุ่ม  
2024.08.17 วันเสาร์ ,Praymanut,เบิกตัวอ่านบัตรประชาชน 1ตัวครับ ,Card Reader,ฝากพี่แหม่มครับ ,2083241610,11:33 Praymanut 16/8/2024 (2083241610) กสิกร สาขาเซ็นทรัลลาดพร้าว ระบบงาน Smart Card Reader อาการ ไม่อ่านบัตปรระชาชน พนักงาน : นุชนาถ ลมเชย Tel. : 0969252965 INCS000000493580 เบิกตัวอ่านบัตรประชาชน 1ตัวครับ ฝากพี่แหม่มครับ  
2024.08.17 วันเสาร์ ,สุเมธี,เบิก หัวเข็ม 1 ลงโคราชครับ ,PASSBOOK,ลงโคราชครับ ,2087241702,12:59 สุเมธี สังข์สีแก้ว 17/8/67 ขอเลขซ่อมแจ้งผ่านช่าง กสิกรไทย โลตัส ปากช่อง Compuprint SP-40Plus S/N RHS-T12-117862 หัวเข็มหัก (2087241702) @สุเมธี สังข์สีแก้ว เบิก หัวเข็ม 1 ลงโคราชครับ  
2024.08.17 วันเสาร์ ,กิ๊กจ้า,เบิก การ์ดลีดเดอร์ 1 ตัว ,SCR,ฝากแหม่มครับ* *17/8/67 ติดตามงานค่ะ รบกวนปิดงานให้ด้วยค่ะ* ,2087241414,13:41 กิ๊กจ้า 14/8/2024 (2087241414) TTB บางรัก SCR-3310 / 53312203235524 Card Reader ไม่อ่านบัตรประชาชน โทร.089-4843425 Montri Muenphothong INC0287490 *รบกวนช่างแจ้งวันเข้าสาขามาที่แผนก Admin ทันทีนะคะ ว่าจะเข้าดำเนินการภายในวันไหน เพื่อทำการ ส่ง Mail ตอบกลับสำนักงานใหญ่* *ปิดงานภายในวันที่ 16/8/67* * เบิก การ์ดลีดเดอร์ 1 ตัว ฝากแหม่มครับ* *17/8/67 ติดตามงานค่ะ รบกวนปิดงานให้ด้วยค่ะ* @All  
2024.08.17 วันเสาร์ ,AKARAPONG.,เบิกSWING CELL ครับ ,NTA,ฝากริน ,1086241610,16:03 AKARAPONG. AK. 16/8/24 1086241610 Non-Bank บริษัท เจริญเลิศคลองหลวง จำกัด / เจริญเลิศรังสิต ปทุมธานี K.อาย 0992245442 NEWTON-A N19G01-A02719 โปรยติด ที่อยู่ 41 ซอยรังสิต-ปทุมธานี 8 ต.ประชาธิปัตร อ.ธัญบุรี จ.ปทุมธานี 12130 เบิกSWING CELL ครับ ฝากริน  
2024.08.17 วันเสาร์ ,Patwut,เบิกหัวเข็มไปผมรบกวนช่วยรีบ ส่งกลับมาให้ด้วยนะครับ ขอบคุณมากครับ ,,ส่งกลับมาให้ด้วยนะครับ ขอบคุณมากครับ ,,17:20 Patwut (นุ) @All ช่างที่ เบิกหัวเข็มไปผมรบกวนช่วยรีบ ส่งกลับมาให้ด้วยนะครับ ขอบคุณมากครับ  
2024.08.17 วันเสาร์ ,Praymanut,เบิก หัวเข็ม 1หัวครับ ,PASSBOOK,ฝากพี่แหม่ม ,2083241710,21:04 Praymanut 17/8/2024 (2083241710) กสิกร สาขาถนนรัชดาภิเษก (สุขุมวิท-พระรามที่ 4) ระบบงาน passbook อาการ ปริ้นชื่อขาดหายไม่ครบ พนักงาน ปัญจรัตน์ คงศร เบอร์ติดต่อ : 0854860416 INCS000000494120 เบิก หัวเข็ม 1หัวครับ ฝากพี่แหม่ม  
2024.08.18 วันอาทิตย์ ,Praymanut,เบิก จอแยกและสายจอแยก 1ชุดครับ ,NTV,ฝากพี่แหม่มครับ ,2086241801,10:41 Praymanut Kbank 18/8/67 2086241801 ---รายละเอียดเอกสาร---  : 0769 - จตุจักรพลาซ่า  : เครื่อง นับเงิน มีเสียงดังมากๆๆขณะเครท่องทำงาน หน้าจอ แสดงผล ก็เสียใช่งานไม่ได้ ช่อง2 ผู้นำทีม (Task Manager): ทีมงานสาขา-งานซ่อมสาขา(ภาค01) วันที่มอบหมายงาน: 18-Aug-2024 เวลา 10:31:08 Newton+V เบิก จอแยกและสายจอแยก 1ชุดครับ ฝากพี่แหม่มครับ  
2024.08.18 วันอาทิตย์ ,สุชิน,เบิก บอร์ด Driver จำนวน 1 อัน ,,ฝากพี่ลินครับ ,2086241803,12:12 สุชิน Kbank 18/8/67 2086241803 ---รายละเอียดเอกสาร---  : 0762 - ไอที สแควร์  : เครื่องโปรยธนบัตรเค้าเตอร์เตี้ย ธนบัตรติด โปรยไม่ได้ ผู้นำทีม (Task Manager): ทีมงานสาขา-งานซ่อมสาขา(ภาค03) วันที่มอบหมายงาน: 18-Aug-2024 เวลา 11:29:07 PD 2208 แจ้ง User คุณ อนันต์ เข้า 20/8/67 เบิก บอร์ด Driver จำนวน 1 อัน ฝากพี่ลินครับ  
2024.08.18 วันอาทิตย์ ,Gapp,เบิกอะไหล่(ตามรูป) ,PASSBOOK,ฝากพี่แหม่มครับ ,2083241802,14:20 Gapp 18/8/2024 (2083241802) กสิกร สาขา เซ็นทรัล เวสต์ ระบบงาน passbook อาการ ไม่ดึงกระดาษ เบอร์ติดต่อ : 0972966263 พนักงาน ธันวาเสนีย์วงศ์ ณ อยุธยา INCS000000494399 เบิกอะไหล่(ตามรูป) ฝากพี่แหม่มครับ  
2024.08.18 วันอาทิตย์ ,Gapp,,,,,14:20 Gapp รูป  
